Year_Month,Card_type,Travel_Mode,Trip,DATE
Mar-17,Sgl Trip Ferry Child/Youth,Ferry,6774,1/03/2017
Mar-17,Adult,Light Rail,639505,1/03/2017
Mar-17,Child/Youth,Light Rail,35233,1/03/2017
Mar-17,Concession,Light Rail,36897,1/03/2017
Mar-17,Free Travel,Light Rail,906,1/03/2017
Mar-17,School Student,Light Rail,7282,1/03/2017
Mar-17,Senior/Pensioner,Light Rail,151966,1/03/2017
Mar-17,Sgl Trip LR Adult,Light Rail,2833,1/03/2017
Mar-17,Sgl Trip LR Child/Youth,Light Rail,440,1/03/2017
Mar-17,Adult,Train,25670277,1/03/2017
Mar-17,Child/Youth,Train,1061092,1/03/2017
Mar-17,Concession,Train,2874972,1/03/2017
Mar-17,Employee,Train,331728,1/03/2017
Mar-17,Free Travel,Train,34502,1/03/2017
Mar-17,School Student,Train,1236042,1/03/2017
Mar-17,Senior/Pensioner,Train,2983728,1/03/2017
Mar-17,Sgl Trip Rail Adult,Train,320440,1/03/2017
Mar-17,Sgl Trip Rail Child/Youth,Train,53604,1/03/2017
Apr-17,Adult,Bus,12477134,1/04/2017
Apr-17,Adult Single Bus Trip 1,Bus,158538,1/04/2017
Apr-17,Adult Single Bus Trip 2,Bus,98729,1/04/2017
Apr-17,Adult Single Bus Trip 3,Bus,39330,1/04/2017
Apr-17,Child/Youth,Bus,1276586,1/04/2017
Apr-17,Child/Youth Single Bus Trip 1,Bus,54620,1/04/2017
Apr-17,Child/Youth Single Bus Trip 2,Bus,42726,1/04/2017
Apr-17,Child/Youth Single Bus Trip 3,Bus,12903,1/04/2017
Apr-17,Concession,Bus,1647277,1/04/2017
Apr-17,Employee,Bus,65750,1/04/2017
Apr-17,Free Travel,Bus,33012,1/04/2017
Apr-17,School Student,Bus,1062002,1/04/2017
Apr-17,Senior/Pensioner,Bus,3754438,1/04/2017
Apr-17,Adult,Ferry,953347,1/04/2017
Apr-17,Child/Youth,Ferry,149935,1/04/2017
Apr-17,Concession,Ferry,28963,1/04/2017
Apr-17,Employee,Ferry,5172,1/04/2017
Apr-17,Free Travel,Ferry,2199,1/04/2017
Apr-17,School Student,Ferry,839,1/04/2017
Apr-17,Senior/Pensioner,Ferry,193582,1/04/2017
Apr-17,Sgl Trip Ferry Adult,Ferry,59293,1/04/2017
Apr-17,Sgl Trip Ferry Child/Youth,Ferry,15138,1/04/2017
Apr-17,Adult,Light Rail,587812,1/04/2017
Apr-17,Child/Youth,Light Rail,48789,1/04/2017
Apr-17,Concession,Light Rail,30959,1/04/2017
Apr-17,Free Travel,Light Rail,905,1/04/2017
Apr-17,School Student,Light Rail,2198,1/04/2017
Apr-17,Senior/Pensioner,Light Rail,141087,1/04/2017
Apr-17,Sgl Trip LR Adult,Light Rail,2666,1/04/2017
Apr-17,Sgl Trip LR Child/Youth,Light Rail,821,1/04/2017
Apr-17,Adult,Train,21558784,1/04/2017
Apr-17,Child/Youth,Train,1333722,1/04/2017
Apr-17,Concession,Train,2080422,1/04/2017
Apr-17,Employee,Train,260847,1/04/2017
Apr-17,Free Travel,Train,29582,1/04/2017
Apr-17,School Student,Train,427515,1/04/2017
Apr-17,Senior/Pensioner,Train,2679990,1/04/2017
Apr-17,Sgl Trip Rail Adult,Train,298912,1/04/2017
Apr-17,Sgl Trip Rail Child/Youth,Train,75955,1/04/2017
May-17,Adult,Bus,14803185,1/05/2017
May-17,Adult Single Bus Trip 1,Bus,168079,1/05/2017
May-17,Adult Single Bus Trip 2,Bus,102429,1/05/2017
May-17,Adult Single Bus Trip 3,Bus,39400,1/05/2017
May-17,Child/Youth,Bus,1122661,1/05/2017
May-17,Child/Youth Single Bus Trip 1,Bus,40946,1/05/2017
May-17,Child/Youth Single Bus Trip 2,Bus,25907,1/05/2017
May-17,Child/Youth Single Bus Trip 3,Bus,7355,1/05/2017
May-17,Concession,Bus,2193095,1/05/2017
May-17,Employee,Bus,77797,1/05/2017
May-17,Free Travel,Bus,40054,1/05/2017
May-17,School Student,Bus,3124770,1/05/2017
May-17,Senior/Pensioner,Bus,4329706,1/05/2017
May-17,Adult,Ferry,812318,1/05/2017
May-17,Child/Youth,Ferry,63543,1/05/2017
May-17,Concession,Ferry,28200,1/05/2017
May-17,Employee,Ferry,5428,1/05/2017
May-17,Free Travel,Ferry,2355,1/05/2017
May-17,School Student,Ferry,2435,1/05/2017
May-17,Senior/Pensioner,Ferry,189654,1/05/2017
May-17,Sgl Trip Ferry Adult,Ferry,40290,1/05/2017
May-17,Sgl Trip Ferry Child/Youth,Ferry,5607,1/05/2017
May-17,Adult,Light Rail,614636,1/05/2017
May-17,Child/Youth,Light Rail,31460,1/05/2017
May-17,Concession,Light Rail,32391,1/05/2017
May-17,Free Travel,Light Rail,936,1/05/2017
May-17,School Student,Light Rail,6885,1/05/2017
May-17,Senior/Pensioner,Light Rail,144208,1/05/2017
May-17,Sgl Trip LR Adult,Light Rail,2535,1/05/2017
May-17,Sgl Trip LR Child/Youth,Light Rail,432,1/05/2017
May-17,Adult,Train,26157005,1/05/2017
May-17,Child/Youth,Train,952898,1/05/2017
May-17,Concession,Train,2727746,1/05/2017
May-17,Employee,Train,332707,1/05/2017
May-17,Free Travel,Train,35442,1/05/2017
May-17,School Student,Train,1272946,1/05/2017
May-17,Senior/Pensioner,Train,3039985,1/05/2017
May-17,Sgl Trip Rail Adult,Train,293744,1/05/2017
May-17,Sgl Trip Rail Child/Youth,Train,50537,1/05/2017
Jun-17,Adult,Bus,13139949,1/06/2017
