Year_Month,Card_type,Line,Trip
Sep-16,Free Travel,"T1 North Shore, Northern and Western Line",11259
Sep-16,School Student,"T1 North Shore, Northern and Western Line",375289
Sep-16,Senior/Pensioner,"T1 North Shore, Northern and Western Line",958036
Sep-16,Sgl Trip Rail Adult,"T1 North Shore, Northern and Western Line",80999
Sep-16,Sgl Trip Rail Child/Youth,"T1 North Shore, Northern and Western Line",23395
Sep-16,Adult,"T2 Airport, Inner West and South Line",5382635
Sep-16,Child/Youth,"T2 Airport, Inner West and South Line",228278
Sep-16,Concession,"T2 Airport, Inner West and South Line",506205
Sep-16,Employee,"T2 Airport, Inner West and South Line",71296
Sep-16,Free Travel,"T2 Airport, Inner West and South Line",6399
Sep-16,School Student,"T2 Airport, Inner West and South Line",144178
Sep-16,Senior/Pensioner,"T2 Airport, Inner West and South Line",592001
Sep-16,Sgl Trip Rail Adult,"T2 Airport, Inner West and South Line",142834
Sep-16,Sgl Trip Rail Child/Youth,"T2 Airport, Inner West and South Line",19167
Sep-16,Adult,T3 Bankstown Line,1689548
Sep-16,Child/Youth,T3 Bankstown Line,86852
Sep-16,Concession,T3 Bankstown Line,174931
Sep-16,Employee,T3 Bankstown Line,15547
Sep-16,Free Travel,T3 Bankstown Line,1338
Sep-16,School Student,T3 Bankstown Line,50754
Sep-16,Senior/Pensioner,T3 Bankstown Line,251984
Sep-16,Sgl Trip Rail Adult,T3 Bankstown Line,15599
Sep-16,Sgl Trip Rail Child/Youth,T3 Bankstown Line,4930
Sep-16,Adult,T4 Eastern Suburbs & Illawarra Line,4212808
Sep-16,Child/Youth,T4 Eastern Suburbs & Illawarra Line,179420
Sep-16,Concession,T4 Eastern Suburbs & Illawarra Line,284622
Sep-16,Employee,T4 Eastern Suburbs & Illawarra Line,49010
Sep-16,Free Travel,T4 Eastern Suburbs & Illawarra Line,6427
Sep-16,School Student,T4 Eastern Suburbs & Illawarra Line,124366
Sep-16,Senior/Pensioner,T4 Eastern Suburbs & Illawarra Line,470868
Sep-16,Sgl Trip Rail Adult,T4 Eastern Suburbs & Illawarra Line,40215
Sep-16,Sgl Trip Rail Child/Youth,T4 Eastern Suburbs & Illawarra Line,10108
Sep-16,Adult,T5 Cumberland Line,358049
Sep-16,Child/Youth,T5 Cumberland Line,14349
Sep-16,Concession,T5 Cumberland Line,41002
Sep-16,Employee,T5 Cumberland Line,3264
Sep-16,Free Travel,T5 Cumberland Line,132
Sep-16,School Student,T5 Cumberland Line,13163
Sep-16,Senior/Pensioner,T5 Cumberland Line,52382
Sep-16,Sgl Trip Rail Adult,T5 Cumberland Line,2136
Sep-16,Sgl Trip Rail Child/Youth,T5 Cumberland Line,581
Sep-16,Adult,T6 Carlingford Line,35855
Sep-16,Child/Youth,T6 Carlingford Line,886
Sep-16,Concession,T6 Carlingford Line,3481
Sep-16,Employee,T6 Carlingford Line,213
Sep-16,Free Travel,T6 Carlingford Line,24
Sep-16,School Student,T6 Carlingford Line,557
Sep-16,Senior/Pensioner,T6 Carlingford Line,3831
Sep-16,Sgl Trip Rail Adult,T6 Carlingford Line,63
Sep-16,Sgl Trip Rail Child/Youth,T6 Carlingford Line,7
Sep-16,Adult,T7 Olympic Park Line,102987
Sep-16,Child/Youth,T7 Olympic Park Line,5995
Sep-16,Concession,T7 Olympic Park Line,8768
Sep-16,Employee,T7 Olympic Park Line,484
Sep-16,Free Travel,T7 Olympic Park Line,49
Sep-16,School Student,T7 Olympic Park Line,1768
Sep-16,Senior/Pensioner,T7 Olympic Park Line,8645
Sep-16,Sgl Trip Rail Adult,T7 Olympic Park Line,1124
Sep-16,Sgl Trip Rail Child/Youth,T7 Olympic Park Line,296
Oct-16,Adult,Blue Mountains Line,571910
Oct-16,Child/Youth,Blue Mountains Line,38633
Oct-16,Concession,Blue Mountains Line,56798
Oct-16,Employee,Blue Mountains Line,11079
Oct-16,Free Travel,Blue Mountains Line,1020
Oct-16,School Student,Blue Mountains Line,21476
Oct-16,Senior/Pensioner,Blue Mountains Line,116986
Oct-16,Sgl Trip Rail Adult,Blue Mountains Line,6124
Oct-16,Sgl Trip Rail Child/Youth,Blue Mountains Line,1855
Oct-16,Adult,Central Coast & Newcastle Line,1051048
Oct-16,Child/Youth,Central Coast & Newcastle Line,71828
Oct-16,Concession,Central Coast & Newcastle Line,114758
Oct-16,Employee,Central Coast & Newcastle Line,22889
Oct-16,Free Travel,Central Coast & Newcastle Line,2261
Oct-16,School Student,Central Coast & Newcastle Line,64200
Oct-16,Senior/Pensioner,Central Coast & Newcastle Line,224676
Oct-16,Sgl Trip Rail Adult,Central Coast & Newcastle Line,13312
Oct-16,Sgl Trip Rail Child/Youth,Central Coast & Newcastle Line,3304
Oct-16,Adult,Hunter Line,35439
Oct-16,Child/Youth,Hunter Line,4616
Oct-16,Concession,Hunter Line,10852
Oct-16,Employee,Hunter Line,714
Oct-16,Free Travel,Hunter Line,86
Oct-16,School Student,Hunter Line,3809
Oct-16,Senior/Pensioner,Hunter Line,17342
Oct-16,Sgl Trip Rail Adult,Hunter Line,775
Oct-16,Sgl Trip Rail Child/Youth,Hunter Line,375
Oct-16,Adult,South Coast Line,561571
Oct-16,Child/Youth,South Coast Line,36040
